c,v,clauses_vars_ratio,vars_clauses_ratio,vcg_var_mean,vcg_var_coeff,vcg_var_min,vcg_var_max,vcg_var_entropy,vcg_clause_mean,vcg_clause_coeff,vcg_clause_min,vcg_clause_max,vcg_clause_entropy,vg_mean,vg_coeff,vg_min,vg_max,pnc_ratio_mean,pnc_ratio_coeff,pnc_ratio_min,pnc_ratio_max,pnc_ratio_entropy,pnv_ratio_mean,pnv_ratio_coeff,pnv_ratio_min,pnv_ratio_max,pnv_ratio_entropy,pnv_ratio_stdev,binary_ratio,ternary_ratio,ternary+,hc_fraction,hc_var_mean,hc_var_coeff,hc_var_min,hc_var_max,hc_var_entropy,file_name,satzilla_base_t
91885,31482,2.9186519280858905,0.3426239320890243,7.410654967016619e-05,2.540539093509493,0.0,0.029296534912066866,1.1315310659374396,7.410654967016619e-05,0.20203946041271492,3.176014736708378e-05,9.528044210125136e-05,0.6366424963258221,6.041874990933005e-05,2.56019488176145,2.1765627720703466e-05,0.023376284172035522,0.60581722676882,0.7325121879057728,0.0,1.0,0.9991416787658655,0.17304720116679215,0.2906117921777531,0.0,0.5,1.0584470893807323,0.05028955726242564,0.6666594114574265,0.33332970572871323,0.9999891171861397,0.746811335538917,4.998262178528882e-05,2.367604427297247,0.0,0.017978408497301063,1.5657482991140057,00063d88244921d6ec46aeab6866a8e2,2.53074049949646
2520,1080,2.3333333333333335,0.42857142857142855,0.001984126984126984,0,0.001984126984126984,0.001984126984126984,0.0,0.001984126984126984,0.16329931618554522,0.001851851851851852,0.002777777777777778,0.410116318288409,0.002380952380952381,0,0.002380952380952381,0.002380952380952381,0.5076719576719577,0.9370586265380103,0.0,1.0,0.9568009659990623,0.6,9.247272719042245e-17,0.6,0.6000000000000001,0.0,5.548363631425347e-17,0.8571428571428571,0.14285714285714285,1.0,0.7182539682539683,0.0013907260435038213,0.3144916218317923,0.0,0.001984126984126984,1.3867756560687567,0033baadbd48d3f880e9b5a733bd4950,0.06554245948791504
49835,790,63.08227848101266,0.01585231263168456,0.0036309695412583046,0.6550404836868335,0.0006822514297180697,0.006019865556335909,1.0781037574810508,0.003630969541258304,0.18079263997161427,0.002531645569620253,0.02531645569620253,0.41379145701885617,0.003108993856943102,0.8237399551901998,0.001043443363098224,0.006381057489716063,0.49542824654693823,0.657268049472086,0.0,1.0,0.8337696960063816,0.9430627947381485,0.051564132209145234,0.8666666666666667,0.9933333333333334,1.0781037574810508,0.04862821462940388,0.14146684057389386,0.857830841777867,0.9992976823517609,0.4978228152904585,0.0017558195208745822,0.8680331099041534,0.00012039731112671817,0.005136951941406642,4.579793677508002,003a77d2aa15a5f93aa2cfe79b986c9e,1.2664754390716553
6959,520,13.382692307692308,0.07472337979594769,0.00740048857594482,1.1963040453153115,0.0007184940364994971,0.028308665038080185,0.9743147528693494,0.00740048857594482,0.4100000203374347,0.0038461538461538464,0.125,0.3151510778526681,0.01666906164678833,0.5409439826728938,0.00977151889639316,0.037792786319873546,0.36194523970066433,0.9467256098519707,0.0,1.0,0.9988918724681193,0.7833853963295588,0.2341250482390647,0.6,0.9692307692307693,0.9743147528693494,0.18341014370543676,0.09340422474493462,0.0,0.09340422474493462,0.3211668343152752,0.0022090928183757614,1.582966503886209,0.0,0.02155482109498491,2.6736232342674975,0041051c73dcdd885d412a38e8b09fba,0.278383731842041
58758,720,81.60833333333333,0.012253650566731339,0.0027936621396235407,0.23243506294154734,0.0013274788113958951,0.004952517104053916,3.8795147827448844,0.0027936621396235407,0.28127754193900756,0.002777777777777778,0.041666666666666664,0.0035955986959174758,0.0027766431805030804,0.23385973387591172,0.0013104598522754348,0.004935498144933456,0.5012877679067815,0.9973387423875992,0.0,1.0,0.6964856791772878,0.9871304647936483,0.003125031555650977,0.9743589743589745,0.993127147766323,0.5676351849698672,0.003084813852024567,0.9995915449811089,0.0,0.9995915449811089,0.7258756254467477,0.002016321181796521,0.4428582365122713,0.0005786446100956465,0.0046972327172470135,4.659152437507826,0041f01bcd7d0d1f9541cea6da79ad57,1.1965842247009277
3885,434,8.951612903225806,0.11171171171171171,0.009080594141108513,0.003220333414659352,0.009077155824508321,0.009329299041855773,0.07211135278743407,0.009080594141108513,0.02918265636955349,0.0022727272727272726,0.00909090909090909,0.01133585026997524,0.004790721129601614,0,0.004790721129601614,0.004790721129601614,0.3610690872415532,0.907636960241479,0.0,1.0,0.9638107341309314,0.00036855036855036784,8.504900548115382,0.0,0.027027027027026973,0.07211135278743407,0.0031344842314921495,0.0,0.0,0.0,0.30458900655572363,0.002758676018887819,0.24026480552883914,0.0010085728693898135,0.0045385779122541605,2.3543255329015254,0059d4b1cf79efbc6e6ed50caee0448e,0.11696410179138184
32000,60,533.3333333333334,0.001875,0.128,0,0.128,0.128,0.0,0.128,0.21856390894122169,0.08333333333333333,0.25,0.9192724956637776,0.001375,0,0.001375,0.001375,0.30546348512598515,0.6985686153854661,0.06666666666666665,1.0,1.9470647072238219,0.046875,0,0.046875,0.046875,0.0,0.0,0.0,0.0,0.0,0.04321875,0.0051640625,0.4792476255718629,0.00121875,0.0125625,3.9557151261101113,005ccb378ced61c02105ed7ee0a62038,2.2134900093078613
179895,28902,6.224309736350426,0.16066038522471443,0.00011665090491000996,5.060687039628672,2.7793990939158956e-05,0.039912170988632256,1.9793366490526174,0.00011665090491000996,0.47897011392959815,6.919936336585703e-05,0.016953844024634974,1.0537894641362722,0.0001083352105480594,3.7180851580620287,2.2235192751327164e-05,0.010189277078295672,0.5024386447650018,0.7283903035778903,0.0,1.0,1.268031563821054,0.161335013382068,0.39732684927008566,0.0,0.33333333333333326,1.9617590283957655,0.06410273254404418,0.22992301064509854,0.47074126573834735,0.7006642763834459,0.2679173962589288,3.0304893656692138e-05,4.758453738390139,5.558798187831791e-06,0.008938547486033519,1.4119461493686158,0064aa2e16c9d4b18d32a45d3073fce9,5.933089971542358
154654,17850,8.664089635854342,0.1154189351714149,0.00018695786408760875,0.819486418340118,3.879628072988736e-05,0.0007823916613860618,3.6815638543907543,0.00018695786408760875,0.239297745481302,0.00011204481792717087,0.00022408963585434174,1.0031813181246718,0.00030825112126141595,0.8129124935330001,6.46604678831456e-05,0.0011703544686849354,0.13010117207874783,1.8501388898493887,0.0,1.0,0.7371932287105525,0.08094898593721926,0.9234335282897403,0.0,0.4285714285714286,2.631318957615467,0.07475100769548296,0.207120410723292,0.24856130458960002,0.455681715312892,0.3077902931705614,4.1447541034855106e-05,0.6859157760733046,1.293209357662912e-05,0.0004396911816053901,2.0886803059501347,0071b624d91ebe408b0585f8c4e34fd9,4.9292662143707275
202473,45831,4.417817634352295,0.22635610674015794,6.0902431328647455e-05,2.6916020990892915,4.814172925091469e-06,0.003004043905257077,2.198001104267288,6.0902431328647455e-05,0.5029504764543384,2.1659555112737983e-05,0.0008014035391713054,0.8710473664754695,5.0735375894587444e-05,2.8448910633176685,4.814172925091469e-06,0.002614095898324668,0.3803275851020577,0.9665287338403802,0.0,1.0,1.2332782069118482,0.13761123828998248,1.6318593768779222,0.0,1.0,1.4176654223602638,0.22456218956729007,0.4078182168303485,0.5527440785673021,0.9605622953976507,0.6696755247448488,3.735918729278405e-05,2.0474460150705593,4.814172925091469e-06,0.0015309069901790872,2.3204924177010287,008e7716c69009090ff6bd0048dc55f8,6.245774507522583
